"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-01-28T07:14:01.000Z","text","People who do hand signs to signal to the waiter for their checks are rude! Don’t do that!","","","","","1"
"2023-01-28T07:06:18.000Z","text","🤮","","","1","",""
"2023-01-27T19:55:54.000Z","text","Convinced the Duolingo owl is trying to emulate Microsoft paper clip’s illustrious career","","","4","",""
"2023-01-27T19:47:09.000Z","text","","","","4","","1"
"2023-01-25T20:54:00.000Z","text","Why are movies all 2-3 hours long now? What happened to cute 90 min movies?","","","2","",""
"2023-01-25T18:35:43.000Z","text","I’m shy 🫣","","","","",""
"2023-01-25T17:38:27.000Z","text","People who don’t do any work are always the most active on slack","","","2","","1"
"2023-01-25T02:50:01.000Z","text","The little tune they play after you complete the NYTimes crossword is soooo good 🎶","","","1","",""
"2023-01-24T07:01:00.000Z","text","MeeeeBitches love the year of the bunny","","","","",""
"2023-01-24T02:48:13.000Z","text","Never had gumbo but really want to try it","","","","","1"
"2023-01-24T02:37:56.000Z","text","Turn Breedy my New England patriots bias 🤭","","","1","",""
"2023-01-24T02:34:40.000Z","text","Joe burrow and Turn Breedy ❤️🏈","","","1","","1"
"2023-01-22T21:08:28.000Z","text","Still seething at that time in montreal when I had a solo dinner and the waiter wouldn’t put in my order because he said it was “too much” for one person 😵‍💫😡 and guess what I ate it all!!!","","","3","",""
"2023-01-20T22:52:40.000Z","text","Bring sad about work issues is such delusional behavior! I really just self imposed a bad week due to 0s and 1s on the screen","","","3","",""
"2023-01-19T01:32:30.000Z","text","Hurry up babe we’re gonna be late for our 9pm reservation at Dorsia","","","3","",""
"2023-01-18T01:07:22.000Z","text","Heard he’s “dating” someone right now but he’s just rehearsing for me","","","1","",""
"2023-01-18T01:01:55.000Z","text","You know you’ve really matured as a female when you start pining for the Nathan Fielder types","","","2","1","1"
"2023-01-18T00:59:05.000Z","text","😅","","","3","",""
"2023-01-18T00:43:06.000Z","text","No","","","2","",""
"2023-01-14T22:51:30.000Z","text","Haters fuel me I’m going to continue my work","","","","",""
"2023-01-14T21:43:12.000Z","text","I really need to work on my penmanship :/ it has progressively gotten worse and worse over the years","","","3","","2"
"2023-01-14T07:07:12.000Z","text","Sue me…","","","","",""
"2023-01-14T03:20:03.000Z","text","No hot girls hold NFTs","","","1","1","2"
"2023-01-13T05:19:02.000Z","text","Hey don’t knock it until you try it!","","","","",""
"2023-01-13T04:45:36.000Z","image","I’m good  are YOU good 😡","","https://pbs.twimg.com/media/FmU5Yy1agAAPv76?format=jpg&name=900x900","7","","2"
"2023-01-13T01:40:09.000Z","text","Americans take Trader Joe’s for granted..they don’t know what it feels like to watch all these amazing new TJ products come out from the sidelines…","","","3","","1"
"2023-01-12T23:20:25.000Z","text","The audacity coffee shops have nowadays… $7 for bean water","","","1","",""
"2023-01-12T23:07:46.000Z","text","Hmm this $7 coffee I just bought doesn’t taste right..","","","4","","1"
"2023-01-12T07:11:56.000Z","text","Shocker! Us women like funny, nice, silly! Why’s this news ","","","3","",""
"2023-01-11T22:57:38.000Z","text","GET OFF MY PAGE","","","","",""
"2023-01-11T21:09:50.000Z","text","I could either be really disgusting or a genius for this but everyone needs to try drinking an iced cold drink in the shower! It’s the best feeling I swear!!!","","","3","","2"
"2023-01-11T03:19:39.000Z","text","Can’t tell if the way jin-young uses the word “impact” is icky or extremely attractive..#SinglesInferno2","","","","",""
"2023-01-09T04:26:07.000Z","text","The first book I read this year was actually the worst fiction I’ve ever read in my adult life. It was an excruciating weekend trying to finish this horrendous novel. 2023 is not off to a good start!","","","2","","1"
"2023-01-08T00:27:41.000Z","text","The best date idea is a really long walk!","","","2","","1"
"2023-01-06T02:09:22.000Z","text","How do you tell politely tell someone you don’t want to dog sit because you dislike their dog 😭","","","2","",""
"2023-01-04T18:46:32.000Z","text","The existence of decaf coffee makes me so irrationally angry","","","1","",""
"2023-01-02T19:34:55.000Z","text",":/","","","","","1"
"2023-01-02T05:21:52.000Z","text","Already messed up..2024 my year for real!","","","4","",""
